Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Leon Draisaitl,29,EDM,C,54,38,43,81,27,18,28,10,0,9,31,12,0,184,20.7,316,1174:41,21:45,518,428,54.8,19,14,26,63,,draisle01
2,Nathan MacKinnon,29,COL,C,55,20,60,80,15,27,16,4,0,3,40,20,0,218,9.2,403,1268:53,23:04,497,516,49.1,46,29,19,83,,mackina01
3,Nikita Kucherov,31,TBL,RW,50,25,52,77,9,29,21,4,0,6,25,27,0,174,14.4,362,1089:25,21:47,0,1,0.0,18,19,17,84,,kucheni01
4,Connor McDavid,28,EDM,C,48,22,49,71,13,29,14,8,0,3,34,15,0,150,14.7,273,1063:42,22:10,263,289,47.6,8,29,20,56,,mcdavco01
5,Mitch Marner,27,TOR,RW,52,16,54,70,7,12,10,5,1,5,34,19,1,122,13.1,275,1116:16,21:28,4,12,25.0,25,31,39,74,,marnemi01
6,Kyle Connor,28,WPG,LW,55,30,37,67,7,21,19,9,2,6,23,14,0,173,17.3,308,1104:09,20:05,1,7,12.5,33,9,22,58,,connoky01
7,David Pastrňák,28,BOS,RW,56,28,39,67,-1,28,22,6,0,4,30,9,0,225,12.4,434,1117:49,19:58,3,4,42.9,12,35,30,80,,pastrda01
8,Jack Eichel,28,VEG,C,53,18,48,66,26,6,14,3,1,1,28,19,1,163,11.0,296,1117:25,21:05,393,457,46.2,36,18,21,57,,eicheja01
9,Mikko Rantanen,28,2TM,RW,54,26,40,66,13,28,18,8,0,5,29,11,0,153,17.0,321,1199:43,22:13,122,108,53.0,33,30,26,53,,rantami01
10,Mikko Rantanen,28,COL,RW,49,25,39,64,12,28,17,8,0,5,28,11,0,135,18.5,287,1102:25,22:30,121,106,53.3,32,28,22,48,,rantami01
11,Mikko Rantanen,28,CAR,RW,5,1,1,2,1,0,1,0,0,0,1,0,0,18,5.6,34,97:18,19:28,1,2,33.3,1,2,4,5,,rantami01
12,Jack Hughes,23,NJD,C,55,23,40,63,9,8,17,5,1,7,18,21,1,204,11.3,422,1153:14,20:58,218,369,37.1,25,5,21,78,,hugheja03
13,Jesper Bratt,26,NJD,W,55,16,45,61,9,14,11,4,1,0,25,19,1,124,12.9,263,1038:10,18:53,0,3,0.0,29,59,9,39,,brattje01
14,Mark Scheifele,31,WPG,C,55,31,30,61,5,41,22,9,0,8,19,11,0,123,25.2,233,1113:35,20:15,397,415,48.9,44,42,17,72,,scheima01
15,Sam Reinhart,29,FLA,C,55,31,29,60,10,27,17,9,5,3,18,10,1,146,21.2,274,1116:48,20:18,155,220,41.3,48,67,17,47,,reinhsa01
16,Martin Nečas,26,2TM,C,55,17,43,60,0,10,10,7,0,5,27,16,0,131,13.0,276,1022:21,18:35,48,78,38.1,19,44,16,61,,necasma01
17,Martin Nečas,26,CAR,C,49,16,39,55,4,10,9,7,0,5,24,15,0,113,14.2,233,886:03,18:05,48,78,38.1,16,40,15,52,,necasma01
18,Martin Nečas,26,COL,C,6,1,4,5,-4,0,1,0,0,0,3,1,0,18,5.6,43,136:18,22:43,0,0,,3,4,1,9,,necasma01
19,Quinn Hughes,25,VAN,D,47,14,45,59,15,27,11,3,0,3,26,19,0,136,10.3,354,1189:20,25:18,0,0,,44,7,19,58,,hughequ01
20,Sidney Crosby,37,PIT,C,55,17,41,58,-15,21,11,6,0,5,30,11,0,156,10.9,301,1119:38,20:21,702,549,56.1,31,52,19,57,,crosbsi01
21,Travis Konecny,27,PHI,C,55,21,37,58,-2,45,12,8,1,2,30,5,2,124,16.9,258,1142:22,20:46,23,45,33.8,28,71,21,55,,konectr01
22,Cale Makar,26,COL,D,55,19,39,58,14,12,9,9,1,3,24,15,0,161,11.8,404,1415:37,25:44,0,0,,89,41,43,73,,makarca01
23,Lucas Raymond,22,DET,LW,54,21,37,58,0,16,15,5,1,3,17,20,0,125,16.8,253,1022:00,18:56,0,3,0.0,26,26,17,51,,raymolu01
24,Clayton Keller,26,UTA,C,52,18,39,57,-3,16,13,5,0,4,22,17,0,135,13.3,280,997:46,19:11,9,19,32.1,20,8,19,50,,kellecl01
25,Artemi Panarin,33,NYR,LW,51,23,34,57,-7,16,15,8,0,1,23,11,0,157,14.6,381,1009:34,19:48,0,1,0.0,8,13,12,64,,panarar01
26,Zach Werenski,27,CBJ,D,53,17,40,57,10,27,12,5,0,4,25,14,1,200,8.5,405,1420:32,26:48,0,0,,92,13,31,78,,werenza01
27,Brandon Hagel,26,TBL,LW,52,23,32,55,16,40,21,0,2,2,21,7,4,153,15.0,294,1105:28,21:16,7,14,33.3,39,38,19,69,,hagelbr01
28,Kirill Marchenko,24,CBJ,RW,53,21,34,55,31,12,19,2,0,2,20,14,0,144,14.6,296,996:04,18:48,11,24,31.4,26,39,26,61,,marchki01
29,William Nylander,28,TOR,C,53,33,22,55,-1,14,25,8,0,7,9,13,0,182,18.1,317,1051:30,19:50,65,71,47.8,14,6,20,50,,nylanwi01
30,Tim Stützle,23,OTT,LW,54,17,37,54,5,26,14,3,0,0,19,18,0,110,15.5,218,1071:45,19:51,96,136,41.4,30,85,16,43,,stuetti02
31,Brayden Point,28,TBL,C,47,28,25,53,0,2,16,12,0,6,16,9,0,118,23.7,220,930:59,19:48,271,273,49.8,23,13,11,23,,pointbr01
32,Kirill Kaprizov,27,MIN,LW,37,23,29,52,19,14,20,3,0,4,20,9,0,128,18.0,271,829:18,22:25,0,2,0.0,15,12,10,52,,kapriki01
33,Nick Suzuki,25,MTL,C,54,15,37,52,5,6,13,2,0,5,23,14,0,109,13.8,211,1055:21,19:33,412,407,50.3,46,43,22,53,,suzukni01
34,Sebastian Aho,27,CAR,F,53,17,34,51,-3,34,14,2,1,5,17,15,2,140,12.1,304,1070:00,20:11,452,366,55.3,23,42,13,62,,ahose01
35,Filip Forsberg,30,NSH,C,52,19,32,51,-13,28,13,6,0,1,21,11,0,190,10.0,400,977:13,18:48,1,8,11.1,32,100,29,74,,forsbfi01
36,Jake Guentzel,30,TBL,C,51,26,25,51,5,16,14,12,0,2,20,5,0,140,18.6,223,1021:28,20:02,127,136,48.3,36,18,20,48,,guentja01
37,Dylan Strome,27,WSH,C,53,15,36,51,11,22,10,5,0,2,20,16,0,94,16.0,171,931:58,17:35,467,374,55.5,39,15,16,44,,stromdy01
38,Matthew Tkachuk,27,FLA,LW,50,19,32,51,-7,54,10,9,0,1,20,12,0,141,13.5,296,905:09,18:06,1,4,20.0,12,82,9,47,,tkachma01
39,Dylan Larkin,28,DET,C,54,23,27,50,1,34,11,12,0,2,20,7,0,173,13.3,339,1082:13,20:02,598,475,55.7,16,24,26,56,,larkidy01
40,Jason Robertson,25,DAL,LW,53,19,31,50,3,10,13,6,0,3,24,7,0,143,13.3,286,945:52,17:51,6,11,35.3,30,35,17,55,,roberja01
41,Cole Caufield,24,MTL,RW,54,26,23,49,-2,14,18,8,0,4,19,4,0,163,16.0,283,963:17,17:50,2,5,28.6,20,42,14,43,,caufico01
42,Matt Duchene,34,DAL,C,53,18,31,49,10,6,13,5,0,4,20,11,0,93,19.4,186,916:18,17:17,266,219,54.8,12,19,15,44,,duchema01
